# +--------------------------------------------------------------------+
#  Project:   Starshatter 5.0
#  File:      content.txt
#
#  Default ENGLISH / USA text
#
#  Destroyer Studios LLC
#  Copyright © 1997-2007. All Rights Reserved.
# +--------------------------------------------------------------------+

FORCOM                      = FORCOM
form.first-time.message-1   = Create a new player account. Enter your name in the box provided.  The user name may be a nickname, callsign, or last name.
form.first-time.message-2   = Select your preferred style of play. Arcade mode is similar to games such as Wing Commander or FreeSpace. Standard mode is more like Babylon 5, Independence War, or Falcon 4.0
form.first-time.message-3   = The following option allows you to skip the training campaign, 'Operation Live Fire'.  If this is your first time playing Starshatter select 'Cadet (First timer)'
form.first-time.player-name = Player Name:
form.first-time.play-style  = Play Style:
form.first-time.experience  = Experience:

form.flight.title           = Flight Operations
form.flight.squadron        = Squadron
form.flight.package         = Package
form.flight.alert           = Alert
form.flight.launch          = Launch
form.flight.standby         = Standby
form.flight.recall          = Recall
form.flight.objective       = Objective
form.flight.loadout         = Loadout
form.flight.patrol          = Patrol
form.flight.intercept       = Intercept
form.flight.assault         = Assault
form.flight.strike          = Strike
form.flight.escort          = Escort
form.flight.scout           = Scout

form.joystick.title         = Joystick Axis Setup
form.joystick.axis          = Axis
form.joystick.select        = Select
form.joystick.invert        = Invert
form.joystick.x-axis        = X Axis:
form.joystick.y-axis        = Y Axis:
form.joystick.rudder        = Rudder:
form.joystick.throttle      = Throttle:
form.joystick.select        = Select
form.joystick.message       = Click an axis button and then move the controller to bind a new axis.  You can also invert any axis by clicking the 'Invert' checkbox to the right of the select button.\n\nThen click Apply to save the new bindings, or Cancel to return to the original bindings.

form.keyboard.title         = Key Binding
form.keyboard.command       = Command:
form.keyboard.current-key   = Current Key:
form.keyboard.new-key       = New Key:
form.keyboard.message       = Press any key to select a new binding for this command.  Then click Apply to save the new binding, or Cancel to return to the original binding.
form.keyboard.clear-binding = Clear Binding
form.keyboard.none-selected = none selected

form.load.title             = Loading Mission

form.mods.instructions      = <font Limerick12><color ffffff>INSTRUCTIONS:\n<font Verdana>\n\t* Download mods from the Internet, and save them in any subfolder of the Starshatter install folder.\n\t* Mods are initially disabled and are shown in the DISABLED MODS list below.\n\t* To enable a mod, select it and click the ENABLE button.\n\t* To disable an enabled mod, select it in the ENABLED MODS list and click the DISABLE button.
form.mods.disabled-mods     = Disabled Mods
form.mods.enabled-mods      = Enabled Mods
form.mods.disable           = Disable <<
form.mods.enable            = Enable >>

form.mod-info.title         = Mod Description

form.msn-edit.title         = Mission Editor
form.msn-edit.tab.situation = SIT
form.msn-edit.tab.package   = PKG
form.msn-edit.tab.navigation= MAP
form.msn-edit.name          = Name:
form.msn-edit.type          = Type:
form.msn-edit.system        = System:
form.msn-edit.sector        = Sector:
form.msn-edit.description   = Description
form.msn-edit.situation     = Situation
form.msn-edit.objective     = Objective
form.msn-edit.add-element   = Add Elem
form.msn-edit.edit-element  = Edit Elem
form.msn-edit.del-element   = Del Elem
form.msn-edit.add-event     = Add Event
form.msn-edit.edit-event    = Edit Event
form.msn-edit.del-event     = Del Event

form.msn-edit.nav.title     = Mission Editor - Navigation
form.msn-edit.nav.galaxy    = Galaxy
form.msn-edit.nav.system    = System
form.msn-edit.nav.sector    = Sector
form.msn-edit.nav.starship  = Starship
form.msn-edit.nav.planet    = Planet
form.msn-edit.nav.station   = Station
form.msn-edit.nav.fighter   = Fighter

form.msn-elem.title         = Mission Element
form.msn-elem.name          = Name:
form.msn-elem.class         = Class:
form.msn-elem.design        = Design:
form.msn-elem.skin          = Skin:
form.msn-elem.size          = Size:
form.msn-elem.iff           = IFF:
form.msn-elem.role          = Role:
form.msn-elem.sector        = Sector:
form.msn-elem.location      = Loc: (km)
form.msn-elem.heading       = Heading:
form.msn-elem.hold-time     = Hold Time:
form.msn-elem.intel         = Intel:
form.msn-elem.player        = Player:
form.msn-elem.alert         = Alert:
form.msn-elem.playable      = Playable:
form.msn-elem.command-ai    = Command AI:
form.msn-elem.respawns      = Respawns:
form.msn-elem.commander     = Commander:
form.msn-elem.carrier       = Carrier:
form.msn-elem.squadron      = Squadron:
form.msn-elem.loadout       = Loadout:
form.msn-elem.objective     = Objective:
form.msn-elem.target        = Target:
form.msn-elem.north         = North
form.msn-elem.east          = East
form.msn-elem.south         = South
form.msn-elem.west          = West

form.msn-event.title        = Mission Event
form.msn-event.identifier   = ID:
form.msn-event.time         = Time:
form.msn-event.delay        = Delay:
form.msn-event.action       = Action:
form.msn-event.ship         = Ship:
form.msn-event.source       = Source:
form.msn-event.target       = Target:
form.msn-event.parameter    = Param:
form.msn-event.sound        = Sound:
form.msn-event.message      = Message:
form.msn-event.chance       = Chance:
form.msn-event.trigger      = Trigger:

form.mission.title          = Mission Briefing
form.mission.tab.situation  = SIT
form.mission.tab.package    = PKG
form.mission.tab.navigation = MAP
form.mission.tab.loadout    = WEP
form.mission.nav.galaxy     = Galaxy
form.mission.nav.system     = System
form.mission.nav.sector     = Sector
form.mission.nav.starship   = Starship
form.mission.nav.planet     = Planet
form.mission.nav.station    = Station
form.mission.nav.fighter    = Fighter
form.mission.system         = System:
form.mission.sector         = Sector:
form.mission.objectives     = Objectives
form.mission.situation      = Situation
form.mission.elements       = Package Elements
form.mission.nav-plan       = Nav Plan
form.mission.threats        = Threat Analysis
form.mission.suspected      = Suspected threats in your operating area:
form.mission.loadout.name   = NAME
form.mission.loadout.weight = WEIGHT
form.mission.standard-loads = Standard Loadouts
form.mission.element        = Element:
form.mission.type           = Type:
form.mission.weight         = Weight:
form.mission.custom-loads   = Custom Loadouts

form.msn-select.title       = Single Missions
form.msn-select.campaign    = Campaign
form.msn-select.mission     = Mission
form.msn-select.description = Description
form.msn-select.new         = New
form.msn-select.edit        = Edit
form.msn-select.delete      = Delete

form.nav.title              = Navigation
form.nav.galaxy             = Galaxy
form.nav.system             = System
form.nav.sector             = Sector
form.nav.starship           = Starship
form.nav.planet             = Planet
form.nav.station            = Station
form.nav.fighter            = Fighter
form.nav.location           = Location
form.nav.destination        = Destination

form.net.name               = Name:
form.net.server             = Server:
form.net.port               = Port:
form.net.password           = Password:

form.net.addr.title         = Enter Server Address
form.net.pass.title         = Enter Server Password

form.net.client.title       = Multiplayer Client
form.net.client.add         = Add
form.net.client.delete      = Del
form.net.client.local       = Local Server
form.net.client.host        = Host
form.net.client.join        = Join
form.net.client.server      = SERVER NAME
form.net.client.type        = TYPE
form.net.client.status      = STATUS
form.net.client.players     = PLAYERS
form.net.client.password    = PASSWORD
form.net.client.ping        = PING

form.net.lobby.title        = Multiplayer Game Lobby
form.net.lobby.missions     = Missions
form.net.lobby.players      = Players
form.net.lobby.chat         = Chat
form.net.lobby.missions     = MISSIONS
form.net.lobby.host         = HOST
form.net.lobby.player       = PLAYER
form.net.lobby.name         = NAME
form.net.lobby.message      = CHAT MESSAGE

form.net.server.title       = Server Configuration
form.net.server.name        = Name:
form.net.server.type        = Type:
form.net.server.game-port   = Game Port:
form.net.server.game-pass   = Game Password:
form.net.server.admin-port  = Admin Port:
form.net.server.admin-name  = Admin Name:
form.net.server.admin-pass  = Admin Password:
form.net.server.lan         = LAN
form.net.server.private     = Private
form.net.server.public      = Public

form.net.unit.title         = Multiplayer Unit Selection
form.net.unit.players       = Players
form.net.unit.unit-mapping  = Unit Mapping
form.net.unit.chat          = Chat
form.net.unit.select-unit   = SELECT UNIT
form.net.unit.map-unit      = MAP >>
form.net.unit.unmap-unit    = MAP <<
form.net.unit.ban-player    = * BAN *

form.logbook.title          = Player Logbook
form.logbook.create-player  = Create
form.logbook.delete-player  = Delete
form.logbook.player-stats   = Player Stats
form.logbook.name           = Name:
form.logbook.password       = Password:
form.logbook.squadron       = Squadron:
form.logbook.signature      = Signature:
form.logbook.created        = Created:
form.logbook.flight-time    = Flight Time:
form.logbook.missions       = Missions:
form.logbook.kills          = Kills:
form.logbook.losses         = Losses:
form.logbook.points         = Points:
form.logbook.rank           = Rank:
form.logbook.medals         = Medals:
form.logbook.chat-macros    = Chat Macros:

form.tac-ref.title          = Tactical Reference
form.tac-ref.ships          = Ships
form.tac-ref.weapons        = Weapons
form.tac-ref.name           = Item Name



award.rank.0.name           = Cadet
award.rank.0.abrv           = CDT
award.rank.0.desc           = This is the entry level rank for Force:Space trainees. Cadets are authorized to fly training missions for fighter combat under appropriate trainer supervision. 
award.rank.0.grant          = Congratulations, Cadet!  Welcome to Force:Space!  During your initial training tours, we will be observing your conduct and performance at all times.  Perform your duties to the best of your ability, and you will find the stars soon within your grasp.
award.rank.1.name           = Ensign
award.rank.1.abrv           = ENS
award.rank.1.desc           = This is the first rank of Force commissioned officers. As an Ensign, you will be expected to fly fighter combat missions on a daily basis.
award.rank.1.grant          = Congratulations on your commission, Ensign!  You are in officer's country now.  Based on your new rank, you have authorization to undertake all fighter missions assigned to your unit.  You will be expected to serve Force with courage, honor, and commitment at all times.
award.rank.2.name           = Lieutenant
award.rank.2.abrv           = LT
award.rank.2.desc           = This is the second rank of Force commissioned officers. As a Lieutenant, you will be expected to fly fighter combat missions on a daily basis.
award.rank.2.grant          = Congratulations, Lieutenant!  You've earned your first bar.  Don't spend so much time polishing it that you forget how to fly.  Keep your head about you, it only gets harder from here.
award.rank.3.name           = Lt. Commander
award.rank.3.abrv           = LCDR
award.rank.3.desc           = This is the third rank of Force commissioned officers, and the first Command Rank.  As a Lt. Commander, you may continue to fly fighter missions, or you may request transfer to a starship command.
award.rank.3.grant          = Congratulations, Lt. Commander!  Welcome to the Command Ranks.  Based on your record, I'm sure that your immediate supervisors will support your transfer to a Destroyer Squadron command, whenever you choose to request one.
award.rank.4.name           = Commander
award.rank.4.abrv           = CDR
award.rank.4.desc           = Commander is the fourth rank of Force commissioned officers. As a Commander, you are eligible for a Destroyer Command, or you may wish to head up a Fighter Wing.
award.rank.4.grant          = Congratulations, Commander!  Force:Command is very pleased to see the progress of your career.  Keep up the good work, and you will make Captain in no time.
award.rank.5.name           = Captain
award.rank.5.abrv           = CAPT
award.rank.5.desc           = Captain is the fifth rank of Force commissioned officers. As a Captain, you are eligible to command any starship squadron less than a full fleet carrier.
award.rank.5.grant          = Captain on deck!  On behalf of Force:Command, let me extend my sincere congratulations for a job well done.  When you are ready to move up to a Cruiser command, just put in the transfer request.  A spot will be waiting for you.
award.rank.6.name           = Commodore
award.rank.6.abrv           = COMM
award.rank.6.desc           = Commodore is the sixth rank of Force commissioned officers, and the lowest rank of the Admiralty. As a Commodore, you may command any starship squadron in the fleet.
award.rank.6.grant          = Very well done, Commodore!  Welcome to the Admiral's Club.  Now that you are becoming one of the 'old gray hairs' of the fleet, you should start thinking about taking on some bigger challenges.  A fleet carrier battle group may be just the opportunity you need.
award.rank.7.name           = Vice Admiral
award.rank.7.abrv           = VADM
award.rank.7.desc           = Vice Admiral is the seventh rank of Force commissioned officers, and the second rank of the Admiralty. As a Vice Admiral, you may command any starship squadron in the fleet.
award.rank.7.grant          = Congratulations, Vice Admiral!  Force:Command is very pleased to see the progress of your career.  SECNAV and the Executive Board will be looking for great things from you.  Your leadership will be a great asset to your assigned command.
award.rank.8.name           = Admiral
award.rank.8.abrv           = ADM
award.rank.8.desc           = Admiral is the eighth rank of Force commissioned officers, and the third rank of the Admiralty. As an Admiral, you may command any starship squadron in the fleet.
award.rank.8.grant          = Congratulations, Admiral!  In recognition of your continued excellence and dedication, Force:Command is very pleased to grant you this promotion.  Your service record is an honor to your command.  Thank you for all the hard work you have been doing.
award.rank.9.name           = Fleet Admiral
award.rank.9.abrv           = FADM
award.rank.9.desc           = Fleet Admiral is the ninth rank of Force commissioned officers, and the second highest rank of the Admiralty. As a Fleet Admiral, you may command any starship squadron in the fleet.
award.rank.9.grant          = Congratulations, Fleet Admiral!  In recognition of your continued excellence and dedication, Force:Command is very pleased to grant you this promotion.  Your service record is an honor to your command.  Thank you for all the hard work you have been doing.
award.rank.10.name          = Grand Admiral
award.rank.10.abrv          = GADM
award.rank.10.desc          = Grand Admiral is the tenth and highest rank of all Force commissioned officers, reporting directly to SECNAV.  Only one officer in the entire fleet is awarded this supreme rank at any one time.
award.rank.10.grant         = Congratulations, Grand Admiral!  On behalf of the Alliance President, with the full authorization of the Combined Senate, SECNAV is proud to grant you this promotion.  Your leadership and dedication has been an inspiration to us all.  You will hold this honorary rank award for life.

award.medal.0001.name       = Operation Nightfall
award.medal.0001.desc       = The Operation Nightfall Campaign medal is awarded to any member of any branch of Force who participated in combat action in the Marakan Core Theater.
award.medal.0001.grant      = The Operation Nightfall Campaign medal is awarded to any member of any branch of Force who participated in combat action in the Marakan Core Theater.
award.medal.0002.name       = Operation Firestorm
award.medal.0002.desc       = The Operation Firestorm Campaign medal is awarded to any member of any branch of Force who participated in combat action in either the Ostara-Tarsus-Kolchev or the Loris-Korian Theaters.
award.medal.0002.grant      = The Operation Firestorm Campaign medal is awarded to any member of any branch of Force who participated in combat action in either the Ostara-Tarsus-Kolchev or the Loris-Korian Theaters.
award.medal.0004.name       = Operation Shining Fortress
award.medal.0004.desc       = The Operation Shining Fortress Campaign medal is awarded to any member of any branch of Force who participated in combat action in the defense of the Jarnell, Borova, and Athenar systems.
award.medal.0004.grant      = The Operation Shining Fortress Campaign medal is awarded to any member of any branch of Force who participated in combat action in the defense of the Jarnell, Borova, and Athenar systems.
award.medal.0010.name       = Operation Highland
award.medal.0010.desc       = The Operation Highland Campaign medal is awarded to any member of any branch of Force who participated in combat action in the Solus-Renser Theater of Operations.
award.medal.0010.grant      = The Operation Highland Campaign medal is awarded to any member of any branch of Force who participated in combat action in the Solus-Renser Theater of Operations.
award.medal.0020.name       = Order of the Red Flame
award.medal.0020.desc       = The Order of the Red Flame is awarded to any member of any branch of Force who is killed or wounded during combat action, either in hostile, neutral, or friendly territory.
award.medal.0020.grant      = For meritorious service during combat action, it is my honor to bestow upon you this Order of the Red Flame in the name of the Chief Executive Officer of the Terellian Alliance. May this small token speed the healing of your injuries and return you swiftly to your unit.
award.medal.0040.name       = Flight Medal
award.medal.0040.desc       = The Flight Medal is awarded to any member of any branch of Force who distinguishes him or herself by heroism or extraordinary achievement while participating in aerial or orbital flight. The performance of the act of heroism must be evidenced by voluntary action above and beyond the call of duty.
award.medal.0040.grant      = The Flight Medal is awarded to any member of any branch of Force who distinguishes him or herself by heroism or extraordinary achievement while participating in aerial or orbital flight. The performance of the act of heroism must be evidenced by voluntary action above and beyond the call of duty.
award.medal.0080.name       = Command Medal
award.medal.0080.desc       = The Command Medal is awarded to any member of any branch of Force who distinguishes him or herself by heroism or extraordinary achievement while participating in a command role aboard an Alliance Fleet Starship. The performance of the act of heroism must be evidenced by voluntary action above and beyond the call of duty.
award.medal.0080.grant      = The Command Medal is awarded to any member of any branch of Force who distinguishes him or herself by heroism or extraordinary achievement while participating in a command role aboard an Alliance Fleet Starship. The performance of the act of heroism must be evidenced by voluntary action above and beyond the call of duty.
award.medal.0100.name       = Distinguished Service Cross
award.medal.0100.desc       = The Distinguished Service Cross is awarded to any person who, while serving with any branch of Force, distinguishes him or herself by extraordinary heroism while engaged in action against an enemy of the Alliance. The performance of the act of heroism must be evidenced by voluntary action above and beyond the call of duty.
award.medal.0100.grant      = The Distinguished Service Cross is awarded to any person who, while serving with any branch of Force, distinguishes him or herself by extraordinary heroism while engaged in action against an enemy of the Alliance. The performance of the act of heroism must be evidenced by voluntary action above and beyond the call of duty.
award.medal.0200.name       = Gold Star
award.medal.0200.desc       = The Gold Star Medal is awarded to any person who, while serving in any capacity in or with Force, has distinguished him or herself by heroic or meritorious achievement or service while engaged in an action against an enemy of the Terellian Alliance.
award.medal.0200.grant      = The Gold Star Medal is awarded to any person who, while serving in any capacity in or with Force, has distinguished him or herself by heroic or meritorious achievement or service while engaged in an action against an enemy of the Terellian Alliance.
award.medal.0400.name       = Order of the Wounded Lion
award.medal.0400.desc       = The Order of the Wounded Lion is awarded to any member of any branch of Force who is killed or wounded during combat action, either in hostile, neutral, or friendly territory.
award.medal.0400.grant      = The Order of the Wounded Lion is awarded to any member of any branch of Force who is killed or wounded during combat action, either in hostile, neutral, or friendly territory.
award.medal.0800.name       = Command Shield
award.medal.0800.desc       = The Command Shield is awarded to any member of Force:Space who distinguishes him or herself by heroism or extraordinary achievement while participating in a command role aboard an Alliance Fleet Starship. The performance of the act of heroism must be evidenced by voluntary action above and beyond the call of duty.
award.medal.0800.grant      = The Command Shield is awarded to any member of Force:Space who distinguishes him or herself by heroism or extraordinary achievement while participating in a command role aboard an Alliance Fleet Starship. The performance of the act of heroism must be evidenced by voluntary action above and beyond the call of duty.
award.medal.1000.name       = Silver Comet
award.medal.1000.desc       = The Silver Comet Medal is awarded to a person who, while serving in any capacity with Force, distinguishes him or herself by extraordinary heroism while engaged in an action against an enemy of the Terellian Alliance, or while engaged in military operations involving conflict with an opposing force. The act or acts of heroism must have been so notable and have involved risk of life so extraordinary as to set the individual apart from his or her comrades.
award.medal.1000.grant      = The Silver Comet Medal is awarded to a person who, while serving in any capacity with Force, distinguishes him or herself by extraordinary heroism while engaged in an action against an enemy of the Terellian Alliance, or while engaged in military operations involving conflict with an opposing force. The act or acts of heroism must have been so notable and have involved risk of life so extraordinary as to set the individual apart from his or her comrades.
award.medal.2000.name       = White Star
award.medal.2000.desc       = The White Star Medal is awarded to a person who, while serving in any capacity with Force, distinguishes him or herself by exceptional gallantry in space while engaged in an action against an enemy of the Terellian Alliance, or while engaged in military operations involving conflict with an opposing force. The deed performed must have been so notable and have involved risk of life so extraordinary as to set the individual apart from his or her comrades.
award.medal.2000.grant      = The White Star Medal is awarded to a person who, while serving in any capacity with Force, distinguishes him or herself by exceptional gallantry in space while engaged in an action against an enemy of the Terellian Alliance, or while engaged in military operations involving conflict with an opposing force. The deed performed must have been so notable and have involved risk of life so extraordinary as to set the individual apart from his or her comrades.
award.medal.4000.name       = Golden Meteor
award.medal.4000.desc       = The Golden Meteor is awarded by the Alliance President, in the name of the Combined Senate, to a person who, while an active member of Force, distinguishes him or herself conspicuously by exceptional gallantry at the risk of his or her life above and beyond the call of duty while engaged in action against an enemy of the Alliance, or while engaged in military operations involving conflict with an opposing force. The deed performed must have been one of personal bravery or self-sacrifice so conspicuous as to clearly distinguish the individual above his or her comrades. The Golden Meteor is the highest honor that may be bestowed upon any citizen of the Alliance.
award.medal.4000.grant      = The Golden Meteor is awarded by the Alliance President, in the name of the Combined Senate, to a person who, while an active member of Force, distinguishes him or herself conspicuously by exceptional gallantry at the risk of his or her life above and beyond the call of duty while engaged in action against an enemy of the Alliance, or while engaged in military operations involving conflict with an opposing force. The deed performed must have been one of personal bravery or self-sacrifice so conspicuous as to clearly distinguish the individual above his or her comrades. The Golden Meteor is the highest honor that may be bestowed upon any citizen of the Alliance.

server.no-users             = Users: 0
server.users                = Users: {}
server.players              = Players: {}
server.users-and-players    = Users: {}  Players {}
server.mode.lobby           = Mode: LOBBY
server.mode.active          = Mode: ACTIVE PLAY
server.mode.other           = Mode: (unknown)
server.alt.persistent       = PERSISTENT
server.mission              = Mission:

ai.auto-hold                = AutoHold
ai.auto-nav                 = AutoNav
ai.auto-stop                = AutoStop
ai.launch                   = Launch
ai.takeoff                  = Takeoff
ai.inbound                  = Inbound
ai.finals                   = Finals
ai.return-to-base           = RTB
ai.seek-target              = Seek Target
ai.seek-rumor               = Seek Rumor
ai.seek-ward                = Seek Ward
ai.station-keeping          = Station Keeping
ai.too-high                 = Too High
ai.too-low                  = Too Low
ai.way-too-low              = Way Too Low!
ai.seek-patrol-point        = Seek Patrol Point
ai.seek-inbound             = Seek Inbound
ai.hold-final               = Hold Final
ai.seek-farcaster           = Seek Farcaster
ai.seek-target              = Seek Target
ai.seek-navpoint            = Seek Navpt
ai.seek-formation           = Seek Formation
ai.evade-missile            = Evade Missile
ai.evade-threat             = Evade Threat
ai.evade-starship           = Evade Starship
ai.evade-and-seek           = Evade & Seek
ai.random-evade             = Random Evade
ai.none                     = Cruise
ai.self-defensive           = SELF DEF
ai.defensive                = DEFENSE
ai.directed                 = DIRECT
ai.flexible                 = FLEX
ai.default                  = ???
ai.formation                = Formation
ai.regroup                  = Regroup
ai.retreat                  = Retreat
ai.search                   = Search
ai.avoid-collision          = Avoid Collision
ai.holding                  = Holding
ai.dead                     = Dead Hulk

flcs.manual                 = MANUAL
flcs.auto                   = AUTO
flcs.helm                   = HELM
flcs.fault                  = FAULT
flcs.offline                = OFFLINE
flcs.atmospheric            = ATMOS

event.message               = Message 
event.objective             = Objective
event.instruction           = Instruction 
event.team-change           = IFF
event.damage                = Damage
event.jump                  = Jump
event.hold                  = Hold
event.skip                  = Skip
event.exit                  = Exit
event.begin-scene           = BeginScene
event.camera                = Camera
event.volume                = Volume
event.display               = Display
event.fire-weapon           = Fire
event.end-scene             = EndScene

event.trigger.time          = Time
event.trigger.damage        = Damage
event.trigger.destroyed     = Destroyed
event.trigger.jump          = Jump
event.trigger.launch        = Launch
event.trigger.dock          = Dock
event.trigger.navpoint      = Navpoint
event.trigger.event-complete= Event
event.trigger.event-skipped = Skipped
event.trigger.target        = Target
event.trigger.ships-left    = Ships Left
event.trigger.detect        = Detect
event.trigger.range         = Range
event.trigger.event-all     = Event (ALL)
event.trigger.event-any     = Event (ANY)

sim.event.Launch            = Launch
sim.event.Dock              = Dock
sim.event.Land              = Land
sim.event.Eject             = Eject
sim.event.Crash             = Crash
sim.event.Collision With    = Collision With
sim.event.Destroyed By      = Destroyed By
sim.event.Make Orbit        = Make Orbit
sim.event.Break Orbit       = Break Orbit
sim.event.Quantum Jump      = Quantum Jump
sim.event.Launch Ship       = Launch Ship
sim.event.Recover Ship      = Recover Ship
sim.event.Fire Guns         = Fire Guns
sim.event.Fire Missile      = Fire Missile
sim.event.Drop Decoy        = Drop Decoy
sim.event.Guns Kill         = Guns Kill
sim.event.Missile Kill      = Missile Kill
sim.event.Launch Probe      = Launch Probe
sim.event.Scan Target       = Scan Target
sim.event.no event          = no event

tacref.name                 = Name:
tacref.type                 = Type:
tacref.class                = Class:
tacref.length               = Length:
tacref.mass                 = Mass:
tacref.hull                 = Hull:
tacref.weapons              = Weapons:
tacref.wep.other            = Other
tacref.wep.beam             = Beam Weapon
tacref.wep.bolt             = Energy Bolt
tacref.wep.drone            = Combat Drone
tacref.wep.guided           = Guided Missile
tacref.wep.missile          = Missile
tacref.wep.turret           = Turret
tacref.targets              = Targets:
tacref.targets.fsg          = Fighters / Ships / Ground
tacref.targets.fs           = Fighters / Ships
tacref.targets.fg           = Fighters / Ground
tacref.targets.f            = Fighters
tacref.targets.sg           = Ships / Ground
tacref.targets.s            = Ships
tacref.targets.g            = Ground
tacref.speed                = Speed:
tacref.range                = Range:
tacref.damage               = Damage:
tacref.kill-radius          = Kill Rad:
tacref.none                 = None
tacref.no-info              = No further information available.

ship.drone                  = The Class 2 TARGET DRONE is a high midwing monoplane of conventional design with an inverted-Y empennage. The spaceframe is a modified monocoque structure made of a titanium alloy-reinforced ceramic composite. The Target is powered by a FP387/403 variable speed fusion drive, which produces a maximum of 4T static thrust under normal operating conditions.  The Target is equipped with a fighter-style sensor package and onboard AI pilot capability, but is otherwise unarmed.
ship.eagle                  = The F-34D EAGLE is a compact, multi-role fighter spacecraft. It is highly maneuverable and has proven itself in spaceborne and airborne combat as well as in surface attack missions. It provides a relatively low-cost, high-performance weapon system for Alliance forces.   Like the F-32 Falcon, the Eagle is armed with twin Delta particle cannon, along with four underwing hard points capable of mounting a variety of anti-fighter ordnance.  The Eagle's heavier structure also provides support for air-to-ground and antiship weapons and increased survivability at some cost in overall maneuverability.
ship.falcon                 = The F-32 FALCON is the premier single-seat intercept fighter craft for the Alliance FORCE:Space.  Designed to be lightweight, low cost and easy to maintain, the Falcon is a respected highly maneuverable and versatile tactical fighter.  It is armed with twin Delta particle cannon, and four underwing hard points capable of mounting a variety of anti-fighter ordnance.  The Falcon is routinely tasked with patrol, escort, and intercept mission profiles.
ship.stormhawk              = The F-36C STORMHAWK is a compact, multi-role fighter spacecraft. It is highly maneuverable and has proven itself in spaceborne and airborne combat as well as in surface attack missions. It provides a relatively low-cost, high-performance weapon system for Alliance forces.   Like the F-32 Falcon, the Stormhawk is armed with twin Delta particle cannon, along with four underwing hard points capable of mounting a variety of anti-fighter ordnance.  The Stormhawk's heavier structure also provides support for air-to-ground and antiship weapons and increased survivability at some cost in overall maneuverability.
ship.thunderbolt            = The F/A-38D THUNDERBOLT is the primary Alliance attack craft, and the first specially designed for close air support of ground forces. They are tough, effective and powerful four-engine spacecraft that can be used against all ground targets, as well as fulfilling a secondary role in killing spaceborne platforms and starships.  The 'Bolt has six underwing hardpoints for standard attack ordnance, as well as dual front-mounted Heavy Energy Cannon.  For rear protection from hostile fighters and high-speed threats, the Thunderbolt features an autonomous tail gun turret.
ship.zodiac                 = The ZODIAC armored landing craft (LCA) is the standard Alliance millitary shuttle platform, and the only Force:Space craft capable of atmospheric VTOL.  The Zodiac is commonly used to ferry personnel and equipment between groundside bases and spaceborne platforms.  The Zodiac is armed with four (4) heavy Vulcan cannon, and an aft-mounted automated laser turret for self-defense.
ship.berents                = The FF-922 BERENTS class frigates fulfill a Protection of Shipping (POS) mission providing anti-fighter cover for amphibious expeditionary forces, underway replenishment groups and merchant convoys.  The Berents class anti-fighter weapons complement includes two forward plus one aft Phalanx PDB mounts, along with a pair of Mark VII interceptor launchers.  The Berents class was also recently upgraded to include a heavy plasma cannon battery for use against harder targets.
ship.asher                  = The DD/E-708 ASHER class of destroyer/escorts represents a lighter, more maneuverable alternative to the heavy Spectre class destroyers that make up the majority of Alliance destroyer squadrons.  The Asher class is armed with a trio of nose-mounted XRay Laser batteries, and a pair of wing-mounted fusion torpedo launchers, as well as the usual complement of point defense turrets.  This combination of power and agility makes the Asher class well suited to the fleet carrier escort role they are asked to fulfill.
ship.spectre                = The DD-350 SPECTRE class of destroyers represent the largest and most successful of all Force:Space destroyer acquisitions: fast, roomy, capable of absorbing enormous punishment, and yet fighting on.  The Spectre class ships are forty percent heavier than their Asher class cousins, and they use the extra mass to great effect.  The Spectre class features four nose-mounted XRay Laser batteries, and a pair of wing-mounted fusion torpedo launchers in addition to four Phalanx point defense guns.
ship.courageous             = Modern Force:Space guided missile cruisers such as the CA-521 COURAGEOUS class perform primarily in a Battle Force role. These ships are multi-mission spaceborne combatants capable of supporting carrier battle groups, landing forces, or of operating independently and as flagships of space action groups. The Courageous class features four MARK VII interceptor launchers for close air support against fighters and inbound missiles.  Courageous class cruisers are also equipped with Nike high-speed antiship missiles giving them additional long range assault capability.
ship.devastator             = The CA-400 DEVASTATOR class of heavy cruisers forms the backbone of the Alliance heavy gun capability.  Big, slow, and very tough, each of these enormous vessels features a pair of heavy gamma ray laser batteries and four Athena missile launchers.  Together these weapons can bring down the largest starships and orbital stations.  For defense against strike ships and inbound missile weapons, the Devastator has full coverage from a set of Vanguard point defense batteries.
ship.orion                  = The CV-69 ORION class carriers are essentially spaceborne starports, capable of launching as many as four fighter craft every minute. The Orion's two launch rails and two arresting gear engines enable her to launch and recover ships both rapidly and simultaneously. The Orion class ship's embarked tactical fighter wing includes four different types of fighter and attack craft in addition to armored landing craft for a total complement of almost 80 ships.
ship.baikal                 = The BAIKAL class frigates are commonly used by the independent systems as anti-fighter platforms.  Designed by the Marakan Hegemony as cost efficient space combatants, they lack the multi-mission capability necessary for modern warships faced with multiple, high-technology threats. They also offer limited capacity for growth. Despite this, the FF-101 Baikal class is a robust platform, capable of withstanding considerable damage while staying 'in the fight.'
